subject,strategy,choice_strategy,comments
p954333,See below.,"I chose something similar to what I've already seen, but not the same, to see if it's a more general word or more specific word.",
p450452,Each word indicated a certain group. How specific the group depended on each word.,I chose the object that seemed the most similar.,
p533118,"No, they all seemed self-explanatory",The first one I saw that matched the other pics,
p74730,I just looked at the picture and looked for a common item. ,I chose the one that was the most similar. ,
p887090,I did my best of knowledge,dog,Nice
p190393,i just guess it,for the last object,no
p522248,No.,Color of the other pepper.,No.
p128423,no,no particular strategy,thanks
p828555,No strategy used,I chose based on how similar an object was in comparison to the 3 examples given,No further comments.
p549661,I would click on other images close to the one shown to see if it was the same but maybe should of click on something else to see if it was still the same,something that was close to what was shown,
p644590,Yes. I simply looked at the pictures and identified them based on their classification. ,I clicked on a random picture not related to the first three pictures.,I don't have any additional comments.
p158222,n/a,went with my gut,no comments
p76121,I looked at the photos and picked the ones that resembled the ones already shown.,I picked the one that was most similar.,
p453790,No.,I tried to find which image had the most in common with the first three examples.,No.
p934061,No specific strategy was used. ,I choose a similar object to the rest.,
p19458,There wasn't any strategy other than observation.,"If there was a slight difference between the examples and the unnamed photos, I chose that one to make sure my interpretation was correct.",no
p837076,No real strategy. I guess it was very clear and not hard to know what the words meant.,Initially I didn't get it because I felt understood the word but realized that there may be a word that is more generalizing and use that to choose the 4th objects to make sure I wasn't generalizing.,None
p730879,I tried to use the one additional example to rule out generalities (dog vs dalmatian),I tried to use the one additional example to rule out generalities (dog vs dalmatian),n/a
p838829,I took into consideration how specific the images given seemed to be,"If the first three examples were highly similar, I chose an object as close as possible to the examples. If they were less similar, I chose an object I thought should fit into the group to see if my theory was correct",none
p278484,"I did best of my knowledge,","I did best of my knowledge,",nice
p685889,Process of elimination.,What was left over from the previous slide.  ,no
p189508,I tried to find things similar to the original pictures.,I picked something that I thought the word was,
p811688,"The word were pretty obvious, didn't need a strategy.",By looking for the same object or class of objects.,
p47675,No,I wanted to test it against something that might teach me more.,no
p135044,no,i forget,good to learn nice
p94737,I chose a definition that fit all the objects.,I chose an object that was similar but not an exact match to see if the word was a general or specific term.,no
p793538,I just paid attention to the instructions.,I simply used the process of eliminatiom,No comment. Thank you!
p355363,no,whichever looked similar to the three pictures,no
p660952,similar attributes,similar appearance,none
p205933,N/A,N/A,N/A
p214563,Not really. It was pretty guess work,To see if the first word was just for one type. So if the word was just for dog or for all animals,
p685773,like items,like items,
p656068,It was pretty much just common sense,I just wanted to confirm by choosing a similar picture.,
p580839,I looked at the commonalities of the images.,I chose based on the commonalities of the first three images. Whatever image looked to be in common with those was the image that I chose.,None.
p411552,N/A,N/A,N/A
p353394,no,something similar,none
p791182,I just looked at the pictures and tried to see if they all had something in common.,A picture that looked the most similar to the other three.,No
p337698,No,seeing picture,
p878480,I just tried to follow the examples.,I wanted to confirm the pattern.,None thanks.
p26706,"yes, i tried to see if the word was generic or specific by clicking on similar items to narrow it down. ",i tried to choose something in the same similar generic category to see what the word might mean,none
p103585,I used a mix of learning similar and dissimilar objects.,I tried a mix of learning similar and dissimilar objects.,
p273362,I always asked about an item that could be on the fringe of a category,I wanted to know whether an object that was different could be the same,None
p345845,I just used my best intuition,I wanted to see if I was learning either a specific word or a general word (for example: was beppo the word for Dalmatian specifically or was the word beppo applicable to all dogs),
p665337,No,understnding,This study was useful.
p662655,I tried to figure out if it was specific vs. category,I looked for something in the same category but with a different proper name,"No, thanks."
p169594,none,that matches the first objects ,
p293042,nope,i chose an object that would further confirm what the word was. something similar to the three objects,
p747048,what the objects had in common,tried to pick a similar but not identical object to figure out how broad/narrow the word was,
p274431,I tried to pick something similar but slightly different than what I had already saw ,Pick something in the same category ,No
p125249,"I tried to find connections between the new word and the old word, ie sibu is bus i ",I chose an animal,
p627321,It was pretty easy! No strategy required.,I was choosing another that I thought fit the category to be extra sure I knew what the word represented.,Thank you! Have a great afternoon!
p57176,"No, just used by memory","at first i chose something different, but then I chose the like object to make sure I understood the meaning",Thank you for the opportunity to participate in this study
p397334,"I tried to put it into a general category, but the very first one may have confused me. I didn't allow my own theory to hold true.","What seemed to fit closest to the three examples, although as I was choosing the dog, I think there was a better fit that I missed.",
p553972,n/a,n/a,n/a
p714829,See below.,"I chose an object which was similar, but not identical, to the first three examples shown so I could determine if the word meant something more specific or general.",
p722675,I tried to pick someone close to the examples and see if that was a the same so I could make my best guess of what the word means.,I clicked things that were close to the examples and compared the words and images to figure it out. ,Fun Survey!
p720697,No.,Memory.,
p33050,no,I chose the radish,
p215985,no,I tried to see in the list if there were similar objects. ,no
p15345,I did best of my knowledge,I did best of my knowledge,nice
p112200,No,Based on the before example,It was a nice survey.
p664956,No,I did my best of knowledge.,Good
p363785,no special strategy,by deduction,"All clear, no problems"
p352951,Narrowing down and seeing which were grouped together with process of elimination if possible.,"Process of elimination and choosing a picture that looked similar to see if it was a different word or not. If not, the word applied to the fourth object.",Fun! Thank you!
p26598,"It seemed somewhat simple, I sometimes wanted to test whether certain veggies or animals or vehicles were all the same word.",I tried to pick one I wasn't sure what category it might be in.,thanks for a decent pay rate.
p287152,"No, I just thought about it.",I wanted to see if something similar but not exact was also that word.,"No, but thanks for the HIT!  I did my best and hope the data is useful!"
p210170,No real strategy.  It was pretty easy to figure out.,Something similar to the first three.,Everything was fine.
p661641,I looked to see what features the three figures had in common.,I wanted to test my theory so I picked the object I thought would either prove or disprove my theory.,This was a lot of fun and should have been longer. 
p794175,I tried to guess what the word was from the first 3 images and then test it with my choice of the fourth.,"I looked at all of the choices and tried to pick an option that didn't necessarily fit with my original guess (so should have a different name), but could also make another logical group (so would have the same name). If it had a different name than the first three I went with my original guess, if it ended up having the same name as the first three I went with my second guess.","No, thank you."
p893868,"I tried to find similar items to test if was included in the larger category.  If they were, then I assumed it was a more general broad category.",I tried to choose something different but still could be related.  Instead of just choosing the same image that was included in original set.  I was trying to rule out what might not be included in a larger grouping.,"Interesting study, enjoyed the challenge."
p614762,Just intuition and picked the object to learn the name of to eliminate possibilities.,I wanted to try and narrow down the category,
p864584,Click the closest item in the category,I clicked the closest item most similar to the previous examples,
p95044,"Not really.  I mean, sure, I wanted to find similarities.  A school bus isn't an animal, so the bus wasn't going to be a kita.",I was choosing something clearly different.  It just made it easy to eliminate stuff.,
p154662,I just used to examples and selected the objects closest to them in similarity.,I looked for similar objects that matched the examples.,None
p887558,Photos and what is similar.,What matched photo best.,No errors seen.
p788707,yes narrowing down by example how the dogs were all dalmations and the peppers were mostly pappers,"combining the name and images shown, i am not sure how to explain it besides saying in my head i just combined those 2. sorry, its not a generic answer or anything i just don't know a better way to say it",very very interesting thank u!
p106639,I compared the photos and categorized them instinctively,I chose one that I thought would be dissimilar but not too dissimilar,"I didn't notice any errors or typos and had no issues at all, thanks!"
p885537,"for the last one, I realized that the purpose of that option was to discern and see if there were any variations outside of the initial selection. So I used it for the last word to make sure it was only buses and not other vehicles","Seen above. I didn't realize until the last example what the option was for. When I did, I chose a related object that wasn't included in the initial selection. ",
p762684,NO,BY MEMORYING,GOOD
p899924,no,Followed any hunch I might have,
p722850,No,My own preference.,No
p194883,Picked similar objects.,I wanted to see if all the similar items had the same name.,
p496586,No,picture,
p313449,not really,chose a matching object,no
